location,date,vaccine,total_vaccinations
Belgium,16/04/2021,Pfizer/BioNTech,2133574
Belgium,23/04/2021,Johnson&Johnson,0
Belgium,23/04/2021,Moderna,261084
Belgium,23/04/2021,Oxford/AstraZeneca,838722
Belgium,23/04/2021,Pfizer/BioNTech,2450541
Belgium,30/04/2021,Johnson&Johnson,2996
Belgium,30/04/2021,Moderna,288106
Belgium,30/04/2021,Oxford/AstraZeneca,904166
Belgium,30/04/2021,Pfizer/BioNTech,2806281
Belgium,07/05/2021,Johnson&Johnson,23858
Belgium,07/05/2021,Moderna,345922
Belgium,07/05/2021,Oxford/AstraZeneca,1006846
Belgium,07/05/2021,Pfizer/BioNTech,3358246
Belgium,14/05/2021,Johnson&Johnson,29570
Belgium,14/05/2021,Moderna,400422
Belgium,14/05/2021,Oxford/AstraZeneca,1099815
Belgium,14/05/2021,Pfizer/BioNTech,3809682
Belgium,21/05/2021,Johnson&Johnson,50040
Belgium,21/05/2021,Moderna,502225
Belgium,21/05/2021,Oxford/AstraZeneca,1366645
Belgium,21/05/2021,Pfizer/BioNTech,4178587
Belgium,28/05/2021,Johnson&Johnson,73790
Belgium,28/05/2021,Moderna,576547
Belgium,28/05/2021,Oxford/AstraZeneca,1466496
Belgium,28/05/2021,Pfizer/BioNTech,4620432
Belgium,04/06/2021,Johnson&Johnson,97574
Belgium,04/06/2021,Moderna,652787
Belgium,04/06/2021,Oxford/AstraZeneca,1569816
Belgium,04/06/2021,Pfizer/BioNTech,5319018
Belgium,11/06/2021,Johnson&Johnson,143786
Belgium,11/06/2021,Moderna,739080
Belgium,11/06/2021,Oxford/AstraZeneca,1756765
Belgium,11/06/2021,Pfizer/BioNTech,6072421
Belgium,18/06/2021,Johnson&Johnson,213159
Belgium,18/06/2021,Moderna,845351
Belgium,18/06/2021,Oxford/AstraZeneca,1891627
Belgium,18/06/2021,Pfizer/BioNTech,6785250
Belgium,25/06/2021,Johnson&Johnson,244104
Belgium,25/06/2021,Moderna,957920
Belgium,25/06/2021,Oxford/AstraZeneca,1960754
Belgium,25/06/2021,Pfizer/BioNTech,7445121
Belgium,02/07/2021,Johnson&Johnson,267536
Belgium,02/07/2021,Moderna,1041427
Belgium,02/07/2021,Oxford/AstraZeneca,2060559
Belgium,02/07/2021,Pfizer/BioNTech,7913957
Belgium,09/07/2021,Johnson&Johnson,282576
Belgium,09/07/2021,Moderna,1102959
Belgium,09/07/2021,Oxford/AstraZeneca,2287601
Belgium,09/07/2021,Pfizer/BioNTech,8447671
Belgium,16/07/2021,Johnson&Johnson,300600
Belgium,16/07/2021,Moderna,1157637
Belgium,16/07/2021,Oxford/AstraZeneca,2441967
Belgium,16/07/2021,Pfizer/BioNTech,8955181
Belgium,23/07/2021,Johnson&Johnson,311177
Belgium,23/07/2021,Moderna,1211129
Belgium,23/07/2021,Oxford/AstraZeneca,2548177
Belgium,23/07/2021,Pfizer/BioNTech,9506957
Belgium,30/07/2021,Johnson&Johnson,320347
Belgium,30/07/2021,Moderna,1242032
Belgium,30/07/2021,Oxford/AstraZeneca,2639525
Belgium,30/07/2021,Pfizer/BioNTech,10015668
Belgium,06/08/2021,Johnson&Johnson,329374
Belgium,06/08/2021,Moderna,1265448
Belgium,06/08/2021,Oxford/AstraZeneca,2700087
Belgium,06/08/2021,Pfizer/BioNTech,10373614
Belgium,13/08/2021,Johnson&Johnson,336566
Belgium,13/08/2021,Moderna,1282739
Belgium,13/08/2021,Oxford/AstraZeneca,2813113
Belgium,13/08/2021,Pfizer/BioNTech,10524391
Belgium,20/08/2021,Johnson&Johnson,342421
Belgium,20/08/2021,Moderna,1294124
Belgium,20/08/2021,Oxford/AstraZeneca,2822644
Belgium,20/08/2021,Pfizer/BioNTech,10623232
Belgium,27/08/2021,Johnson&Johnson,348023
Belgium,27/08/2021,Moderna,1301830
Belgium,27/08/2021,Oxford/AstraZeneca,2826086
Belgium,27/08/2021,Pfizer/BioNTech,10694772
Belgium,03/09/2021,Johnson&Johnson,353608
Belgium,03/09/2021,Moderna,1310984
Belgium,03/09/2021,Oxford/AstraZeneca,2828482
Belgium,03/09/2021,Pfizer/BioNTech,10747522
Belgium,10/09/2021,Johnson&Johnson,358048
Belgium,10/09/2021,Moderna,1317236
Belgium,10/09/2021,Oxford/AstraZeneca,2829435
Belgium,10/09/2021,Pfizer/BioNTech,10788157
Belgium,17/09/2021,Johnson&Johnson,359529
Belgium,17/09/2021,Moderna,1320483
Belgium,17/09/2021,Oxford/AstraZeneca,2829779
Belgium,17/09/2021,Pfizer/BioNTech,10796575
Bulgaria,01/01/2021,Pfizer/BioNTech,0
Bulgaria,08/01/2021,Moderna,0
Bulgaria,08/01/2021,Pfizer/BioNTech,13473
Bulgaria,15/01/2021,Moderna,491
Bulgaria,15/01/2021,Pfizer/BioNTech,17962
Bulgaria,22/01/2021,Moderna,843
Bulgaria,22/01/2021,Pfizer/BioNTech,25300
Bulgaria,29/01/2021,Moderna,1053
Bulgaria,29/01/2021,Pfizer/BioNTech,40072
Bulgaria,05/02/2021,Moderna,2207
Bulgaria,05/02/2021,Oxford/AstraZeneca,10
Bulgaria,05/02/2021,Pfizer/BioNTech,54821
Bulgaria,12/02/2021,Moderna,3333
Bulgaria,12/02/2021,Oxford/AstraZeneca,2035
Bulgaria,12/02/2021,Pfizer/BioNTech,70020
Bulgaria,19/02/2021,Moderna,6446
Bulgaria,19/02/2021,Oxford/AstraZeneca,28947
Bulgaria,19/02/2021,Pfizer/BioNTech,83960
Bulgaria,26/02/2021,Moderna,10475
Bulgaria,26/02/2021,Oxford/AstraZeneca,97630
